Group,Subgroup,Week Date,Depression Value,Total Cases,Total Deaths,Total Tests,Positive Rate
By Age,18 - 29 years,2020-05-05,32.7,1216263.0,74616.0,8598797.0,0.095
By State,Louisiana,2020-05-05,38.9,1216263.0,74616.0,8598797.0,0.095
By State,Kentucky,2020-05-05,36.4,1216263.0,74616.0,8598797.0,0.095
By State,Iowa,2020-05-05,28.2,1216263.0,74616.0,8598797.0,0.095
By State,Indiana,2020-05-05,37.8,1216263.0,74616.0,8598797.0,0.095
By State,Illinois,2020-05-05,36.6,1216263.0,74616.0,8598797.0,0.095
By State,Florida,2020-05-05,36.8,1216263.0,74616.0,8598797.0,0.095
By State,District of Columbia,2020-05-05,37.6,1216263.0,74616.0,8598797.0,0.095
By State,Delaware,2020-05-05,34.7,1216263.0,74616.0,8598797.0,0.095
By State,Connecticut,2020-05-05,40.2,1216263.0,74616.0,8598797.0,0.095
By State,Colorado,2020-05-05,35.9,1216263.0,74616.0,8598797.0,0.095
By State,Alabama,2020-05-05,30.3,1216263.0,74616.0,8598797.0,0.095
By State,Wyoming,2020-05-05,24.9,1216263.0,74616.0,8598797.0,0.095
By State,Wisconsin,2020-05-05,27.1,1216263.0,74616.0,8598797.0,0.095
By State,Washington,2020-05-05,30.6,1216263.0,74616.0,8598797.0,0.095
By State,Virginia,2020-05-05,28.5,1216263.0,74616.0,8598797.0,0.095
By State,Vermont,2020-05-05,30.6,1216263.0,74616.0,8598797.0,0.095
By State,Utah,2020-05-05,28.9,1216263.0,74616.0,8598797.0,0.095
By State,Texas,2020-05-05,29.7,1216263.0,74616.0,8598797.0,0.095
By State,Tennessee,2020-05-05,28.2,1216263.0,74616.0,8598797.0,0.095
By State,South Dakota,2020-05-05,22.1,1216263.0,74616.0,8598797.0,0.095
By State,South Carolina,2020-05-05,27.8,1216263.0,74616.0,8598797.0,0.095
By State,Rhode Island,2020-05-05,27.6,1216263.0,74616.0,8598797.0,0.095
